country,le_F,le_M
"Uganda",71.80637,69.18748
"Ukraine",77.64447,69.4129
"United Arab Emirates",79.00938,77.73885
"United Kingdom",83.86351,80.37891
"United Republic of Tanzania",74.08342,71.47583
"United States of America",82.47905,78.63423
"Uruguay",82.46273,76.00895
"Uzbekistan",75.463,71.66713
"Vanuatu",76.80717,73.73489
"Venezuela (Bolivarian Republic of)",82.29261,77.93185
"Viet Nam",83.01273,75.33274
"Yemen",73.17405,70.80318
"Zambia",72.48296,69.90089
"Zimbabwe",73.32363,69.78694
