cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,"Knoxville",727600,"TN",2011,79.80852,80.37471,86.5934,86.8754,88.7909,89.04972,86.73846,86.99575,73.03579,73.62259,79.14399,79.61758,83.13103,83.59057,86.12776,86.42473,1.692167,1.636051,1.688756,1.604019,2.106594,1.9914,3.31763,3.214455,1.097059,1.106359,1.823713,1.792746,2.122341,2.049904,3.0664,2.976716,31815,32117,31064,26035,29804,29977,30103,24359
302,"Knoxville",727600,"TN",2012,83.83833,84.25277,84.10949,84.51266,86.27591,86.66534,89.24944,89.39346,73.17532,73.77847,80.86574,81.28378,83.32676,83.7944,87.353,87.55325,1.550329,1.476564,2.049106,1.958032,2.21438,2.104556,2.360021,2.26531,1.036737,1.035144,1.576893,1.527441,2.134857,2.061951,1.930147,1.847155,31105,31640,31204,26370,29518,29712,30130,24570
302,"Knoxville",727600,"TN",2013,80.21104,80.77104,83.08533,83.55288,88.60662,88.86979,89.18748,89.3214,75.74872,76.30955,78.36565,78.83041,83.43837,83.908,85.77357,86.05094,1.621805,1.560598,2.308236,2.227629,1.836015,1.730897,2.169109,2.079683,1.248429,1.226397,1.642987,1.611045,2.380299,2.301821,2.602316,2.518925,30821,31442,31159,26171,29910,29895,29974,24128
302,"Knoxville",727600,"TN",2014,82.59894,83.02575,87.86757,88.05711,87.63052,87.94071,91.98106,92.01668,75.38389,75.95527,77.62592,78.09945,83.20454,83.6647,89.50738,89.58677,1.407248,1.342666,1.276303,1.211052,2.017549,1.905712,1.395024,1.344301,1.260177,1.244151,1.638999,1.62057,2.03366,1.956188,1.280502,1.222602,29912,30497,29949,25148,28698,28816,28779,23078
500,"Greensboro",1055133,"NC",2001,80.30328,81.08435,86.50238,86.91944,86.62698,86.97478,85.35833,85.73111,73.64182,74.55157,80.13555,80.73775,83.03818,83.47977,84.41985,84.78244,1.745551,1.701599,1.422521,1.36025,1.937481,1.861715,2.753627,2.659297,1.145633,1.155585,1.653766,1.616102,2.059323,2.002935,2.228605,2.156935,40600,42447,40941,32295,37386,41179,38944,30540
500,"Greensboro",1055133,"NC",2002,80.83842,81.6255,86.26826,86.70401,84.55788,84.99213,83.09313,83.54948,74.44291,75.40989,78.76934,79.42881,81.71946,82.2035,83.83741,84.22774,1.547013,1.502734,1.273105,1.216914,2.052953,1.977521,2.904256,2.828655,1.109065,1.112588,1.421921,1.396587,2.078884,2.035151,2.468155,2.397681,42896,43421,41447,32136,39158,42356,39635,30155
500,"Greensboro",1055133,"NC",2003,81.24919,82.03659,82.46266,83.03971,88.20711,88.4845,90.05724,90.23271,75.86119,76.79623,78.68091,79.32761,84.96168,85.3362,85.73494,86.04984,1.457907,1.413527,2.107754,2.041411,1.587538,1.523586,2.351397,2.2575,1.160316,1.148101,1.481496,1.460516,1.724521,1.665245,2.195216,2.118964,44776,44056,41544,31764,40611,43093,39317,29914
500,"Greensboro",1055133,"NC",2004,82.44676,83.17944,86.23654,86.66422,85.40634,85.8,89.62287,89.8035,74.39996,75.35529,78.47912,79.1208,84.28412,84.68427,85.6587,85.98555,1.479128,1.431208,1.626718,1.556705,2.39352,2.308027,2.062619,1.979672,1.091908,1.095648,1.531283,1.514557,1.746385,1.689742,2.47947,2.399404,45375,44777,41767,32002,41099,43321,39988,29902
500,"Greensboro",1055133,"NC",2005,83.68703,84.37244,86.93364,87.33385,83.70596,84.16789,89.88579,90.05268,76.69174,77.62885,79.3417,79.99232,81.3259,81.82359,83.9558,84.34436,1.386065,1.338375,1.450479,1.386612,2.266049,2.192704,1.813519,1.737383,1.172811,1.154082,1.380839,1.35179,1.844572,1.805678,2.630649,2.561312,46533,45307,41967,31870,41593,43633,39988,29895
500,"Greensboro",1055133,"NC",2006,82.97705,83.68871,84.07096,84.59537,88.5638,88.82471,90.87666,91.00013,75.11472,76.08727,81.24434,81.83968,82.40423,82.87254,85.08058,85.43102,1.446145,1.392864,1.8132,1.745243,1.524766,1.462687,1.471588,1.411905,1.058717,1.05984,1.406083,1.363608,1.635513,1.585353,2.613721,2.536468,47662,45820,42453,31787,42487,43964,40281,29772
500,"Greensboro",1055133,"NC",2007,81.0463,81.85549,85.54556,86.028,85.66698,86.0625,90.26848,90.4239,76.63826,77.57747,81.29916,81.89689,84.05894,84.4771,87.899,88.13979,1.538066,1.495611,1.540275,1.471636,2.027668,1.950092,1.875968,1.798183,1.146711,1.136786,1.56018,1.513548,1.671229,1.61487,2.059983,1.975932,48742,46319,42961,31913,43727,44329,40712,29810
500,"Greensboro",1055133,"NC",2008,83.89892,84.62008,87.49305,87.88303,88.58419,88.85492,87.97609,88.23087,75.68728,76.68159,80.30219,80.9411,83.8101,84.24475,88.53896,88.74243,1.295344,1.243113,1.318242,1.25422,1.479326,1.416025,2.566167,2.467577,1.080144,1.075985,1.52784,1.489051,1.959986,1.900146,1.649613,1.575896,50129,47173,43353,31742,44802,45225,40773,29646
500,"Greensboro",1055133,"NC",2009,82.84833,83.65483,83.4103,84.00461,84.17386,84.64069,88.79264,89.00412,74.73141,75.70387,81.07915,81.7052,83.21773,83.67422,86.72866,87.01237,1.273152,1.224012,1.903797,1.83118,2.444727,2.368545,1.903704,1.823635,1.028022,1.037453,1.315478,1.272259,1.721421,1.668672,1.969948,1.889731,51253,48523,44245,32416,45905,46178,41828,30337
500,"Greensboro",1055133,"NC",2010,82.44171,83.28492,88.69364,89.0384,89.30872,89.56113,86.34274,86.68407,74.87833,75.8355,82.72366,83.30038,82.71107,83.19637,89.61999,89.77913,1.385192,1.327455,1.048208,.9900043,1.393393,1.328762,3.04303,2.944901,1.04776,1.061,1.373242,1.319667,1.791037,1.740812,1.398045,1.329381,51078,49046,44182,31499,45764,46356,41417,29229
500,"Greensboro",1055133,"NC",2011,80.09634,81.0285,86.11974,86.61227,89.00421,89.27406,90.31034,90.47235,74.90068,75.91513,81.07944,81.72428,86.04748,86.40844,88.57394,88.78301,1.557439,1.514443,1.624107,1.545734,1.673532,1.594946,1.907439,1.82593,1.064474,1.068255,1.495171,1.450547,1.546091,1.481462,1.61613,1.539681,50957,48825,43737,31077,45831,45514,41007,28692
500,"Greensboro",1055133,"NC",2012,82.36621,83.25342,86.32845,86.82256,85.45199,85.89396,89.7265,89.90878,75.81422,76.84809,79.51833,80.22023,86.6113,86.94901,87.82105,88.08414,1.320223,1.267014,1.558969,1.477764,1.90111,1.81994,1.725623,1.649157,1.075011,1.069188,1.40561,1.377184,1.382347,1.320915,2.28173,2.185995,50333,49133,44020,30929,45376,45413,41547,28602
500,"Greensboro",1055133,"NC",2013,84.63058,85.4078,83.24092,83.89673,88.75864,89.04456,91.75272,91.85271,74.8831,75.91332,81.10239,81.75376,83.93857,84.395,84.62537,85.02312,1.203367,1.133772,1.872522,1.800181,1.520459,1.44443,1.594537,1.522,1.072674,1.08176,1.721356,1.675045,1.861402,1.796484,2.829593,2.752869,50333,49109,43594,30277,46273,45558,40881,27759
500,"Greensboro",1055133,"NC",2014,80.7541,81.73837,86.30131,86.79896,89.2776,89.53419,85.96516,86.32604,77.62895,78.62494,80.53909,81.20975,84.57693,85.00859,86.3586,86.66651,1.410156,1.358117,1.484236,1.405209,1.303902,1.239146,3.548285,3.447433,1.184148,1.160421,1.50944,1.467498,2.084098,2.01088,2.243027,2.158096,47906,48350,41777,29788,44870,44421,38999,26622
900,"Charlotte",1423942,"NC",2001,80.66852,81.4684,83.80386,84.25844,86.64378,86.91363,89.31623,89.49912,73.52386,74.45371,78.49754,79.06661,83.23918,83.57644,80.52402,80.95287,1.353081,1.325636,1.64669,1.59473,1.900064,1.840026,1.613384,1.545029,1.029367,1.032511,1.420122,1.398186,1.74675,1.702658,1.994679,1.97212,47615,51007,52414,58451,43393,48263,51288,58218
900,"Charlotte",1423942,"NC",2002,81.46552,82.21534,86.01852,86.40063,87.43536,87.67453,89.53051,89.70852,74.89147,75.83516,77.93129,78.50717,82.58459,82.9438,83.70769,84.06616,1.379929,1.351289,1.475663,1.429937,1.64946,1.598991,1.721107,1.650153,1.097014,1.092183,1.397759,1.383355,1.677149,1.636354,2.007201,1.953466,50930,53104,54277,59389,45923,49954,53105,59151
900,"Charlotte",1423942,"NC",2003,78.33498,79.16722,84.93536,85.34097,85.9279,86.21385,86.99147,87.27463,73.67476,74.59837,78.17141,78.76117,77.78255,78.21609,85.04292,85.35429,1.38101,1.360361,1.683064,1.633441,1.969902,1.907924,2.251143,2.167854,1.023548,1.033262,1.334791,1.316237,1.554216,1.549527,1.854202,1.793137,52968,55122,55482,60823,47867,51825,54154,60280
900,"Charlotte",1423942,"NC",2004,83.0474,83.73079,85.62569,86.01078,83.40799,83.76888,85.50197,85.83933,74.44229,75.37122,80.50015,81.03745,83.23239,83.57703,87.24696,87.47032,1.355731,1.319837,1.419727,1.374073,2.012224,1.95276,2.439512,2.359059,1.049154,1.052576,1.330446,1.300813,1.419396,1.382734,1.543639,1.483216,54797,56902,57044,61961,49220,53307,54954,61225
900,"Charlotte",1423942,"NC",2005,80.87788,81.67855,84.05077,84.49301,88.59454,88.79032,83.63051,84.02746,76.52031,77.48305,78.14946,78.73085,81.29623,81.6871,86.73345,86.98252,1.326771,1.295063,1.654891,1.603604,1.430012,1.389189,2.551097,2.483351,1.001498,.9870573,1.427416,1.414092,1.685391,1.649789,1.623658,1.563142,56583,58717,58151,62919,50752,54504,56084,62301
900,"Charlotte",1423942,"NC",2006,83.11279,83.84843,83.81832,84.28545,86.28664,86.55466,86.84243,87.11994,76.32994,77.25249,79.7384,80.30108,85.19692,85.48823,87.97583,88.17409,1.233917,1.201223,1.474417,1.431353,1.833018,1.777069,2.200491,2.120929,1.067785,1.060184,1.374329,1.348169,1.40766,1.368437,1.332617,1.279016,59715,60450,59484,64423,53293,56237,57507,63691
900,"Charlotte",1423942,"NC",2007,83.97248,84.73059,85.91654,86.31084,89.62437,89.78575,90.06632,90.20802,74.29202,75.23505,80.0452,80.61936,83.00224,83.36803,85.22052,85.52441,.9958303,.9624346,1.256472,1.213677,1.260601,1.22351,1.376525,1.321673,.998877,1.009426,1.327144,1.30018,1.568529,1.527766,1.571309,1.515756,62250,63322,61511,67644,55502,58488,59021,67172
900,"Charlotte",1423942,"NC",2008,82.99638,83.75874,82.98688,83.48251,87.14294,87.38389,85.34218,85.66925,75.26314,76.26399,81.0177,81.56673,81.9283,82.32301,86.20116,86.48654,1.196693,1.157615,1.622935,1.574265,1.703597,1.652735,2.342758,2.26404,.9759802,.9720699,1.320157,1.286454,1.688881,1.653668,1.759494,1.69504,64750,65498,63156,70728,57579,60169,60786,69957
900,"Charlotte",1423942,"NC",2009,82.33691,83.1577,83.92341,84.41125,88.56791,88.76986,90.78853,90.89373,76.65279,77.62944,81.94584,82.49045,84.8858,85.20623,84.98327,85.31084,1.192717,1.153773,1.402158,1.353335,1.214769,1.175575,1.036857,.9948133,1.01845,1.008863,1.179432,1.140916,1.259699,1.219619,1.623617,1.566053,67916,68689,65368,73311,60056,63036,62490,72432
900,"Charlotte",1423942,"NC",2010,80.78076,81.65273,83.18819,83.69518,86.19751,86.47621,87.4393,87.69099,75.11349,76.07695,81.006,81.57524,84.37562,84.71442,86.05712,86.35471,1.309173,1.278321,1.577951,1.529466,1.767393,1.712612,2.19254,2.110824,.9497712,.9553788,1.302235,1.265947,1.427619,1.385067,1.713426,1.651038,69693,70332,66661,72421,62052,64100,63489,71482
900,"Charlotte",1423942,"NC",2011,82.42831,83.24206,85.36341,85.80534,86.16376,86.44541,88.79896,88.99083,76.72087,77.70058,82.05935,82.60329,81.90958,82.32252,83.16747,83.56682,1.294069,1.251828,1.324592,1.274785,1.849973,1.79204,1.709363,1.643141,.988221,.9826769,1.186817,1.147965,1.60667,1.570569,1.857177,1.811017,71377,72190,67192,71503,63462,64683,63974,70336
900,"Charlotte",1423942,"NC",2012,83.95353,84.75,86.04339,86.45966,86.73535,86.99651,86.87897,87.1459,74.28758,75.28261,81.45541,82.02512,84.80849,85.14,83.40822,83.80679,1.005077,.9609776,1.308568,1.259946,1.662353,1.610998,2.324518,2.243242,.8669043,.8846357,1.330907,1.29239,1.44991,1.402799,2.072873,2.019866,71783,73698,67897,73195,64152,65390,64365,72148
900,"Charlotte",1423942,"NC",2013,80.11594,81.07275,86.10538,86.50604,84.51624,84.83777,89.11302,89.27495,75.4479,76.44321,79.28081,79.90955,84.18645,84.53766,86.72117,86.98878,1.208064,1.178519,1.38402,1.331436,1.721392,1.67243,1.604081,1.544188,.9505031,.9488088,1.373793,1.349726,1.366164,1.321789,1.547682,1.483835,73377,74144,68068,74536,65782,66027,64578,73267
900,"Charlotte",1423942,"NC",2014,82.8271,83.67694,86.1675,86.56755,89.24461,89.41075,85.60587,85.90372,76.24766,77.21678,79.18734,79.81609,81.60491,82.03515,88.67542,88.86692,1.073494,1.028406,1.239129,1.19311,1.193194,1.157389,2.630168,2.551201,1.019964,1.023007,1.37823,1.356441,1.603499,1.566491,1.267408,1.207196,71727,73385,66803,72365,64249,65399,62861,71682
1400,"Fayetteville",644101,"NC",2001,77.4253,78.14174,80.22688,80.8203,78.50654,79.0464,86.22544,86.56016,71.42195,72.33932,81.39763,82.00832,80.56832,81.12099,89.61495,89.80563,1.993837,1.968267,2.735806,2.680048,2.976158,2.956537,3.470888,3.363013,1.188822,1.222854,2.136295,2.082567,2.663827,2.619997,1.797757,1.717085,28607,22239,19516,12146,23141,23034,18507,10935
1400,"Fayetteville",644101,"NC",2002,81.67294,82.32056,83.62671,84.15137,78.73744,79.30533,88.14014,88.39542,75.63953,76.63029,78.45743,79.14664,82.46756,82.98803,90.47305,90.62509,1.999974,1.959217,2.308278,2.237484,2.740574,2.710825,2.799308,2.695679,1.554726,1.549002,2.057425,2.030256,2.470493,2.406972,1.780377,1.6994,30459,22561,19483,11886,24396,23254,18738,10671
1400,"Fayetteville",644101,"NC",2003,78.98016,79.71638,83.1059,83.65253,81.48669,82.00877,90.41805,90.58162,72.5251,73.51229,75.95069,76.64531,86.64774,87.01667,87.76286,88.04295,1.932596,1.894609,2.532652,2.454617,2.82338,2.755452,2.096032,2.011105,1.306828,1.337409,1.932642,1.947186,2.004081,1.927071,2.150685,2.059137,30976,22683,19912,11980,24966,23277,19063,10689
1400,"Fayetteville",644101,"NC",2004,82.12337,82.82404,84.14225,84.68043,81.76022,82.27108,87.49029,87.78706,75.61809,76.65482,78.10014,78.83979,82.36082,82.91743,86.86627,87.20409,1.736339,1.697811,2.261838,2.18764,3.131041,3.065303,3.209262,3.096674,1.515389,1.511487,2.094155,2.074774,2.384408,2.317561,2.712926,2.604271,31375,23149,19920,12302,25218,23497,19140,11100
1400,"Fayetteville",644101,"NC",2005,77.98167,78.76536,83.19647,83.76472,82.66444,83.16824,87.78151,88.07362,72.42481,73.44716,76.9594,77.73755,80.75493,81.37401,79.24277,79.79946,1.896215,1.875176,2.777111,2.690196,2.988104,2.913471,3.483212,3.361585,1.216519,1.251395,2.044148,2.044322,2.41089,2.364766,3.831059,3.835811,32066,23360,19921,12591,25553,23707,19420,11426
1400,"Fayetteville",644101,"NC",2006,79.8526,80.60197,87.60484,88.03303,81.6293,82.17096,87.48671,87.7932,76.72503,77.803,77.98672,78.76796,81.60564,82.20399,89.55832,89.77425,1.958117,1.922201,1.447693,1.383074,2.971873,2.897872,3.626873,3.505292,1.449426,1.439079,2.053479,2.043613,2.495591,2.433389,2.505663,2.393493,32508,23813,20231,12720,26025,23874,19504,11756
1400,"Fayetteville",644101,"NC",2007,83.91621,84.57143,80.06767,80.78962,79.2114,79.79221,86.13087,86.50316,77.09817,78.14182,80.41353,81.17129,82.9499,83.50703,84.46739,84.94641,1.625644,1.583406,2.447089,2.406986,3.14268,3.124931,4.550931,4.441097,1.500651,1.485302,2.046594,1.998427,2.634171,2.560774,4.928229,4.849837,33309,24233,20203,12953,26725,23649,19592,11964
1400,"Fayetteville",644101,"NC",2008,84.8596,85.50696,84.11371,84.72318,83.68182,84.15864,92.74866,92.82053,73.56854,74.65924,84.24841,84.87444,84.62145,85.13342,86.94075,87.30614,1.459867,1.417222,2.248009,2.163414,3.630335,3.535589,1.583893,1.514379,1.323724,1.356854,1.948362,1.861821,2.84602,2.752722,2.520416,2.402413,33787,24689,20506,13100,26652,24135,19917,12136
1400,"Fayetteville",644101,"NC",2009,85.12945,85.82529,85.49293,86.0463,83.76622,84.27525,85.9853,86.37569,75.01057,76.16264,81.23877,82.01814,79.12421,79.80442,84.72049,85.22713,1.226266,1.187223,2.211678,2.115633,2.606445,2.524687,4.114962,3.998368,1.329435,1.338316,2.138236,2.075424,2.485304,2.477272,3.825273,3.73199,35446,25346,21037,13325,28095,24395,20335,12306
1400,"Fayetteville",644101,"NC",2010,80.8961,81.69343,83.24845,83.92624,86.82497,87.22006,79.21422,79.73713,77.28985,78.45679,75.02518,75.83683,84.0545,84.63016,81.91273,82.53463,1.752093,1.710966,2.59495,2.50894,2.343953,2.250741,4.189888,4.194597,1.369417,1.348309,1.628436,1.685195,2.429738,2.341641,3.667913,3.620989,34181,26077,21123,13527,27065,24804,20388,12463
1400,"Fayetteville",644101,"NC",2011,80.4591,81.32561,82.0461,82.82135,89.02246,89.32251,86.04263,86.46306,73.17889,74.29163,80.68066,81.54861,84.14088,84.71343,86.96676,87.36684,1.752268,1.715837,2.401645,2.325222,2.235914,2.135297,4.168691,4.05163,1.234583,1.276909,1.72914,1.667966,2.653308,2.562993,2.854221,2.723524,33615,26301,21215,14142,26482,24427,20698,13099
1400,"Fayetteville",644101,"NC",2012,83.34667,84.08232,85.41586,86.03848,86.90214,87.31227,80.65508,81.25324,74.05273,75.21465,81.69147,82.52943,85.45142,85.96564,80.49895,81.16265,1.69591,1.649891,2.30121,2.186948,2.415903,2.315961,3.825496,3.784917,1.241693,1.268767,1.774043,1.692958,2.046653,1.948276,3.364282,3.338852,33376,26485,21468,14339,26499,24537,20862,13321
1400,"Fayetteville",644101,"NC",2013,84.4098,85.16743,85.02813,85.70326,82.98885,83.59111,88.38296,88.69827,73.57686,74.66974,81.7691,82.6125,85.09199,85.62415,83.31417,83.90707,1.431566,1.382119,2.157194,2.048581,2.824535,2.740286,3.374768,3.23224,1.261812,1.307581,1.734586,1.656284,2.451072,2.348903,3.595021,3.500951,33573,26652,21389,14010,27341,24665,20722,12805
1400,"Fayetteville",644101,"NC",2014,83.8988,84.69404,87.31911,87.86703,85.72872,86.23096,90.09605,90.32357,74.93334,76.06673,76.70412,77.66347,84.14645,84.73839,86.68013,87.11806,1.570374,1.508579,1.795737,1.675948,2.683223,2.569507,2.668025,2.533247,1.410112,1.439006,1.896659,1.931552,2.476804,2.380838,3.386374,3.243657,32368,26378,21163,13414,26850,24189,20034,12135
1701,"Raleigh",1412127,"NC",2001,79.79488,80.8157,80.30178,80.95998,84.57452,85.0096,84.64851,84.93068,75.19651,76.32611,75.41228,76.12401,78.74146,79.30028,84.75875,85.02493,1.639671,1.600284,2.035115,1.994787,2.151772,2.077204,2.391757,2.325258,1.263076,1.259424,1.443824,1.460024,1.783355,1.774152,1.778857,1.7287,40549,47974,49544,65455,37532,41024,47045,65148
1701,"Raleigh",1412127,"NC",2002,79.07911,80.11006,82.82084,83.39968,87.285,87.60378,87.5703,87.7434,73.52242,74.62106,78.28684,78.98509,81.37277,81.89533,80.64211,81.01418,1.601053,1.564112,2.092357,2.027936,1.759862,1.691059,1.947385,1.889581,1.125693,1.148381,1.681327,1.660159,1.84094,1.798615,1.940334,1.914706,42771,49743,51485,68291,39193,42461,48642,68046
1701,"Raleigh",1412127,"NC",2003,82.16815,83.10926,83.68616,84.24971,84.71021,85.13577,87.06126,87.24428,75.38925,76.52879,76.99727,77.71356,86.81458,87.1294,86.10252,86.3293,1.553622,1.4897,1.901245,1.832849,2.084974,2.013016,1.978021,1.918289,1.216376,1.21279,1.547767,1.547859,1.126641,1.075763,1.613417,1.559524,44366,50986,53025,71286,40423,43509,49796,70947
1701,"Raleigh",1412127,"NC",2004,80.2774,81.28865,87.35153,87.75304,85.81753,86.18841,87.11532,87.28707,74.69425,75.7876,79.5213,80.20986,85.01881,85.41819,87.21851,87.4196,1.548782,1.499289,1.354439,1.292951,2.34983,2.269316,2.098778,2.037099,1.15098,1.163203,1.537141,1.503962,1.510049,1.448276,1.538553,1.486669,46070,53241,54728,71494,42229,45340,51334,70941
1701,"Raleigh",1412127,"NC",2005,83.76702,84.60094,82.62894,83.23955,83.0387,83.51255,86.76794,86.9388,75.42674,76.54584,79.37127,80.05882,82.49474,82.99618,87.6645,87.84695,1.546861,1.475987,1.779863,1.723173,2.145421,2.083009,2.222445,2.161391,1.153386,1.151826,1.59129,1.564605,1.641928,1.592037,1.412719,1.361991,47550,55575,56636,72824,43448,47505,53181,71787
1701,"Raleigh",1412127,"NC",2006,82.90949,83.82782,84.7234,85.2489,88.09205,88.36929,86.70793,86.86404,73.89485,74.9794,81.3523,82.00004,84.45849,84.88967,86.72249,86.93821,1.376941,1.307175,1.616443,1.550921,1.491052,1.430556,1.952568,1.901358,1.098058,1.126434,1.387778,1.344513,1.482885,1.423988,1.568145,1.514796,49966,57287,58158,74730,45049,49106,54482,73583
1701,"Raleigh",1412127,"NC",2007,82.56816,83.51374,83.36285,83.94749,85.75481,86.13027,87.72617,87.85416,76.45493,77.5596,81.02374,81.69374,82.3847,82.90734,86.34429,86.57698,1.298801,1.236647,1.788405,1.725292,1.836886,1.76845,1.964424,1.911377,1.194816,1.184328,1.459398,1.409187,1.782754,1.732148,1.526515,1.471352,51845,59854,60542,78239,46730,50602,56735,77038
1701,"Raleigh",1412127,"NC",2008,83.68665,84.57412,83.71216,84.30244,86.80969,87.14461,86.59405,86.74527,75.77824,76.90347,80.29258,80.98102,83.72918,84.20435,88.72243,88.87286,1.344138,1.2717,1.595955,1.532455,1.748483,1.680717,2.120364,2.063337,1.118974,1.124533,1.526486,1.488886,1.612337,1.553937,1.282749,1.236203,53330,62176,63130,81205,48215,52141,59079,79604
