gnd,pctile,year,count,hh_inc,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
"F",3,2003,421320,4116.148,81.35426,81.47151,.4358249,.4261065
"F",3,2004,428784,3988.393,82.62769,82.72208,.3876681,.3817988
"F",3,2005,434493,3847.275,81.71994,81.82035,.3972503,.3899852
"F",3,2006,439698,3663.251,82.63488,82.72135,.386218,.3800668
"F",3,2007,444042,3690.964,82.41955,82.50514,.3724697,.3678287
"F",3,2008,449091,3735.434,80.93546,81.05066,.4042724,.3971063
"F",3,2009,459745,3159.727,81.15202,81.27046,.3985514,.3934212
"F",3,2010,459535,3613.195,82.01933,82.12991,.3842214,.378304
"F",3,2011,457977,3870.443,81.99097,82.09203,.3827938,.3776374
"F",3,2012,458365,3971.393,81.62873,81.72647,.3871937,.3817351
"F",3,2013,455966,3697.619,81.09727,81.20383,.4048032,.397393
"F",3,2014,439130,3070.876,81.81469,81.89437,.3953675,.3876447
"F",4,2001,399612,5805.743,80.93533,81.0498,.5036651,.4921497
"F",4,2002,412463,6094.161,81.16295,81.26837,.467958,.4578469
"F",4,2003,421507,6002.213,81.92408,82.01509,.4258611,.4166337
"F",4,2004,429073,5827.97,80.5575,80.66587,.4496084,.4403932
"F",4,2005,434703,5662.791,82.2038,82.27911,.4219883,.4145377
"F",4,2006,439880,5443.537,83.07969,83.14056,.3791348,.3750545
"F",4,2007,444126,5480.846,82.36086,82.43063,.419378,.411874
"F",4,2008,449360,5525.374,82.48933,82.56116,.4050285,.3993716
"F",4,2009,459965,4886.12,81.76939,81.86095,.3872818,.3811728
"F",4,2010,459789,5297.612,81.90097,82.00013,.3906626,.3858089
"F",4,2011,458156,5614.24,82.4782,82.5563,.3823933,.3761899
"F",4,2012,458476,5729.515,81.56217,81.65226,.3892702,.383674
"F",4,2013,456188,5417.929,82.2866,82.35741,.4177106,.4109718
"F",4,2014,439180,4678.476,81.96638,82.03553,.4064853,.3976135
"F",5,2001,399911,7560.236,81.29407,81.39002,.5045564,.492849
"F",5,2002,412534,7867.744,82.2678,82.3421,.4338185,.4252424
"F",5,2003,421835,7753.258,81.66467,81.7456,.4614618,.4519776
"F",5,2004,429350,7552.682,81.70566,81.78139,.4421394,.4344876
"F",5,2005,434841,7367.729,82.57187,82.62888,.4245611,.4175727
"F",5,2006,440001,7136.68,82.67005,82.72448,.4230887,.4163246
"F",5,2007,444426,7174.844,82.97253,83.02023,.4033372,.3973176
"F",5,2008,449525,7215.217,82.30648,82.37139,.4224073,.4125014
"F",5,2009,460129,6555.519,81.53099,81.61815,.4036859,.3948911
"F",5,2010,459877,6896.169,82.51781,82.59889,.3977773,.3921265
"F",5,2011,458190,7156.883,82.70506,82.77383,.4201086,.414762
"F",5,2012,458525,7265.435,82.06905,82.13652,.4103027,.4038852
"F",5,2013,456283,6929.745,81.77351,81.84149,.4227805,.4178877
"F",5,2014,439437,6177.652,82.72836,82.7722,.4087563,.4028615
"F",6,2001,399878,9163.891,81.88322,81.95913,.4956873,.4837802
"F",6,2002,412911,9462.389,82.17104,82.23564,.4754046,.4644705
"F",6,2003,421831,9326.67,81.75404,81.82395,.4736128,.463565
"F",6,2004,429422,9105.673,82.35655,82.41308,.4875736,.4779984
"F",6,2005,435041,8907.508,82.56493,82.61298,.4544828,.4468376
"F",6,2006,440213,8688.015,82.45564,82.50671,.4586003,.4514519
"F",6,2007,444660,8710.87,82.81404,82.85649,.4486214,.439324
"F",6,2008,449718,8739.714,81.96886,82.03719,.4643821,.4547288
"F",6,2009,460270,8114.007,81.00275,81.09766,.4512778,.4433478
"F",6,2010,460192,8381.735,82.49703,82.5677,.4135241,.4059886
"F",6,2011,458403,8549.803,82.36974,82.43696,.4438176,.4350769
"F",6,2012,458398,8649.717,82.26968,82.3239,.4056264,.3986343
"F",6,2013,456402,8295.634,82.29502,82.33854,.4260421,.4196262
"F",6,2014,439526,7563.678,82.44228,82.48984,.4425471,.4334837
"F",7,2001,400027,10661.53,80.75085,80.84052,.5168571,.5044864
"F",7,2002,412796,10957.02,81.13094,81.20653,.5357832,.5225103
"F",7,2003,422046,10792.45,81.12021,81.19582,.5155104,.5038186
"F",7,2004,429379,10529.68,82.35165,82.3999,.4834135,.4724821
"F",7,2005,435203,10298.28,81.4705,81.53288,.5051086,.4928037
"F",7,2006,440221,10061.05,81.49284,81.55527,.4982708,.4879136
"F",7,2007,444624,10067.15,83.27869,83.30628,.4619348,.4544451
"F",7,2008,449883,10076.67,82.13023,82.18581,.4741848,.4630285
"F",7,2009,460384,9430.495,81.61347,81.69293,.4550284,.4450862
"F",7,2010,460360,9663.607,81.65545,81.74816,.469157,.4583129
"F",7,2011,458169,9751,82.71037,82.75819,.4089538,.4010262
"F",7,2012,458540,9799.021,82.28066,82.33134,.4479455,.4411882
"F",7,2013,456575,9433.2,82.33545,82.37876,.438805,.4301005
"F",7,2014,439485,8805.952,82.70597,82.73848,.4322155,.4248906
"F",8,2001,400101,12068.48,81.1077,81.18004,.5473624,.5339373
"F",8,2002,412922,12359.16,82.07174,82.11935,.5272384,.5140704
"F",8,2003,422093,12183.04,80.95092,81.02028,.539115,.5251442
"F",8,2004,429662,11903.39,82.2507,82.29375,.5217855,.51173
"F",8,2005,435216,11651.83,82.34689,82.38453,.4905259,.4805063
"F",8,2006,440233,11412.36,81.90348,81.94973,.5122474,.5011225
"F",8,2007,444700,11409.42,82.50231,82.53774,.4826154,.4727767
"F",8,2008,449937,11419.27,82.75786,82.79221,.4603748,.4516335
"F",8,2009,460529,10715.92,82.33625,82.38451,.4597666,.450283
"F",8,2010,460270,10917.67,82.71323,82.76691,.436416,.4285797
"F",8,2011,458583,10866.33,81.47777,81.55229,.4751582,.4639188
"F",8,2012,458523,10905.77,83.06795,83.09221,.4333875,.4269255
"F",8,2013,456550,10450.85,81.91763,81.96396,.4505298,.4416904
"F",8,2014,439795,9793.969,82.36275,82.40062,.4733957,.4665709
"F",9,2001,400159,13383.2,81.1517,81.21301,.5591916,.5441802
"F",9,2002,412966,13671.29,80.87063,80.93071,.5515054,.5377681
"F",9,2003,422062,13485.8,80.78611,80.85384,.5711735,.5565523
"F",9,2004,429648,13195.98,82.11233,82.14544,.5004061,.4899008
"F",9,2005,435305,12932.95,82.48163,82.50562,.5200303,.508721
"F",9,2006,440372,12713.91,82.70784,82.72761,.4837013,.4743453
"F",9,2007,444839,12702.27,82.69614,82.71697,.503582,.4922604
"F",9,2008,449976,12708.18,82.57619,82.60208,.4784048,.4686394
"F",9,2009,460470,12031.87,82.1226,82.16561,.4856482,.47526
"F",9,2010,460406,12152.64,82.34249,82.39744,.4718666,.4627735
"F",9,2011,458492,12018.6,82.35532,82.39378,.4622855,.4515821
"F",9,2012,458714,12039.2,81.85356,81.90291,.4905313,.4797966
"F",9,2013,456727,11554.61,82.35345,82.3821,.4652758,.4565419
"F",9,2014,439653,10832.34,82.91753,82.92658,.439339,.4296367
"F",10,2001,400169,14620.99,81.11082,81.16321,.5862828,.5710017
"F",10,2002,413114,14909.2,81.60323,81.64111,.575475,.5613716
"F",10,2003,422243,14719.4,81.91376,81.93975,.5024602,.4915375
"F",10,2004,429657,14411.51,81.82178,81.85451,.5167287,.5041836
"F",10,2005,435466,14137.28,81.79144,81.81936,.5333956,.5207925
"F",10,2006,440529,13937.82,83.37046,83.36605,.4771121,.4683902
"F",10,2007,444832,13911.4,82.5849,82.59694,.5023227,.4924077
"F",10,2008,449964,13908.95,82.58424,82.59992,.4714799,.4625973
"F",10,2009,460708,13248.86,81.69947,81.748,.4917947,.4811321
"F",10,2010,460459,13283.28,82.993,83.0273,.5003672,.4915635
"F",10,2011,458904,13106.72,82.14958,82.1905,.4890913,.4780612
"F",10,2012,459212,13095.52,82.72896,82.74462,.4662878,.4576283
"F",10,2013,456703,12604.44,82.40932,82.42707,.488457,.4775335
"F",10,2014,439785,11891.4,82.14856,82.18226,.5067532,.4942684
"F",11,2001,400192,15798.87,82.83594,82.84409,.5382024,.5252175
"F",11,2002,413217,16099.88,82.40478,82.4152,.5715467,.5581543
"F",11,2003,422287,15902.93,81.97479,81.99482,.578546,.5638667
"F",11,2004,429784,15577.95,82.40762,82.41512,.5188131,.5078396
"F",11,2005,435428,15295.24,82.85421,82.84952,.4760062,.4666522
"F",11,2006,440516,15108.05,81.67342,81.69613,.547672,.5343715
"F",11,2007,444916,15069.35,83.41932,83.4102,.5011745,.4915218
"F",11,2008,450032,15059.25,82.36297,82.3776,.5150725,.5030868
"F",11,2009,460753,14391.15,82.53967,82.5554,.4851258,.4746114
"F",11,2010,460449,14358.63,83.06369,83.08271,.4634482,.4549231
"F",11,2011,458794,14101.1,82.67878,82.69984,.4800797,.4714453
"F",11,2012,459213,14050.01,82.33398,82.3494,.4943684,.4851952
"F",11,2013,456873,13544.42,83.15422,83.13451,.4556859,.4482723
"F",11,2014,439896,12873.64,83.84355,83.81876,.4834529,.4769044
"F",12,2001,400343,16943.73,81.56316,81.58662,.5923409,.5767906
"F",12,2002,413177,17257.18,81.81823,81.83253,.5753878,.5611367
"F",12,2003,422290,17059.09,81.36715,81.39024,.5696273,.5551206
"F",12,2004,429793,16720.46,81.80399,81.82068,.5694683,.5552002
"F",12,2005,435529,16441.3,81.50661,81.52656,.5418379,.5279329
"F",12,2006,440605,16260.2,82.35368,82.35797,.5284348,.5168256
"F",12,2007,444926,16208.41,83.67768,83.65468,.4856626,.4763519
"F",12,2008,450218,16195.49,82.81118,82.8063,.4880643,.4775971
"F",12,2009,460874,15532.31,83.49569,83.49036,.4832723,.4735703
"F",12,2010,460648,15432.04,82.01788,82.05789,.5147741,.5023248
"F",12,2011,458838,15092.98,82.77674,82.78378,.5098422,.4996609
"F",12,2012,459454,15020.63,82.75871,82.76252,.5016839,.4929252
"F",12,2013,456886,14488.08,82.00126,82.02101,.5209817,.507764
"F",12,2014,439998,13767.63,84.08838,84.04851,.4644403,.4572314
"F",13,2001,400350,18059.33,80.85897,80.90009,.611244,.5953417
"F",13,2002,413251,18388.17,81.7058,81.72119,.5761824,.5616314
"F",13,2003,422335,18181.83,82.06642,82.07908,.5785395,.5647891
"F",13,2004,429926,17832.05,82.54845,82.54913,.5393761,.5265265
"F",13,2005,435579,17555.42,81.86349,81.8761,.5706944,.5570872
"F",13,2006,440709,17382.07,82.72182,82.7211,.5277745,.5156021
"F",13,2007,445121,17319.09,82.89189,82.88419,.5161671,.5058348
"F",13,2008,450223,17304.53,83.56454,83.55161,.5126705,.5024028
"F",13,2009,460827,16646.22,83.07184,83.07385,.4837199,.4743125
"F",13,2010,460826,16478.4,82.99715,83.01438,.4753649,.4661001
"F",13,2011,459058,16092.41,83.54362,83.53733,.4632779,.4533155
"F",13,2012,459460,15984.76,84.22553,84.19843,.4552718,.4471183
"F",13,2013,456926,15419.86,83.09599,83.07918,.4785407,.4708086
"F",13,2014,440119,14685.71,83.747,83.72291,.5102302,.5006571
"F",14,2001,400424,19153.48,82.74626,82.75181,.5746092,.5604326
"F",14,2002,413252,19494.09,81.94305,81.95773,.5910138,.5758092
"F",14,2003,422492,19283.1,83.12881,83.11871,.5296766,.5183079
"F",14,2004,429815,18915.26,82.48959,82.49513,.5735077,.5592502
"F",14,2005,435665,18634.29,82.03953,82.04952,.54511,.5321686
"F",14,2006,440655,18471.41,83.50819,83.48962,.5227762,.5121948
"F",14,2007,444991,18396.63,83.61129,83.60032,.5376766,.5272027
"F",14,2008,450320,18381.22,83.92981,83.90981,.4855674,.4777549
"F",14,2009,460865,17730.44,82.74271,82.75336,.5069829,.4951295
"F",14,2010,460548,17506.51,83.47619,83.49038,.5304046,.5198791
"F",14,2011,458839,17077.75,83.84679,83.83479,.4662053,.4576668
"F",14,2012,459622,16928.86,83.19267,83.19283,.533991,.5232275
"F",14,2013,456936,16337.98,83.70557,83.68825,.505943,.4965587
"F",14,2014,440085,15591.65,84.05533,84.02754,.4954786,.4871583
"F",15,2001,400302,20231.13,81.67956,81.70686,.592005,.5772993
"F",15,2002,413340,20584.59,82.91686,82.91494,.5633281,.5501673
"F",15,2003,422486,20362.76,82.31845,82.32864,.5946227,.5801342
"F",15,2004,429961,19981.09,82.18494,82.19447,.5659601,.5522729
"F",15,2005,435507,19697.01,82.72734,82.72595,.5275883,.5154541
"F",15,2006,440784,19544.43,82.38786,82.3962,.5515411,.538996
"F",15,2007,445156,19457.41,84.09422,84.0757,.5435148,.5344045
"F",15,2008,450341,19440.01,83.21244,83.21201,.5368274,.5261325
"F",15,2009,460888,18789.04,83.14938,83.15698,.5164899,.5049644
"F",15,2010,460783,18522.24,83.36145,83.37738,.5032369,.4935969
"F",15,2011,459039,18049.76,83.33485,83.32928,.462916,.4530618
"F",15,2012,459494,17867.17,83.43564,83.43114,.4945725,.4850373
"F",15,2013,457094,17245.08,83.21544,83.20823,.5022498,.4923233
"F",15,2014,440073,16473.25,83.61048,83.60199,.5218101,.5119309
"F",16,2001,400352,21299.37,82.44057,82.45692,.5877056,.5733271
"F",16,2002,413322,21661.38,82.79997,82.80373,.56229,.549311
"F",16,2003,422413,21431.5,83.3529,83.3469,.5545517,.5417392
"F",16,2004,429821,21035.32,82.26826,82.2848,.5949278,.580588
"F",16,2005,435606,20744.79,82.58279,82.59085,.5508832,.5380948
"F",16,2006,440718,20607.57,83.22316,83.2214,.5749202,.5619203
"F",16,2007,445150,20506.74,83.30509,83.29827,.5441822,.5328599
"F",16,2008,450312,20490.53,83.09164,83.09821,.5589504,.547791
"F",16,2009,461041,19838.89,84.21816,84.20599,.4810195,.4725724
"F",16,2010,460775,19529.62,83.99637,84.00235,.5111083,.5019181
"F",16,2011,459127,19015.58,83.3028,83.30443,.5023437,.4915304
"F",16,2012,459525,18801.99,82.99112,82.99734,.512875,.5021976
"F",16,2013,457074,18157.41,84.12106,84.09801,.4778669,.468842
"F",16,2014,440220,17344.56,84.60667,84.57406,.4812245,.4725426
"F",17,2001,400407,22359.33,81.41727,81.45663,.6328436,.6155269
"F",17,2002,413243,22726.2,82.44177,82.45606,.6081277,.5930623
"F",17,2003,422556,22487.33,82.42246,82.43722,.604839,.5900127
"F",17,2004,429864,22079,82.55547,82.56702,.5848534,.570628
"F",17,2005,435667,21782.94,83.325,83.3234,.5638899,.5524422
"F",17,2006,440778,21661.67,82.60801,82.61948,.5859361,.5719754
"F",17,2007,445191,21547.36,82.87327,82.87646,.5580109,.5453516
"F",17,2008,450350,21530.33,83.69624,83.68867,.5019478,.4918557
"F",17,2009,461072,20879.92,82.66934,82.69263,.5273706,.5156481
"F",17,2010,460876,20528.12,83.7968,83.8109,.5172698,.5081959
"F",17,2011,459093,19977.89,83.85426,83.85233,.5194504,.5097092
"F",17,2012,459484,19737.12,83.89149,83.88,.4873098,.4794162
"F",17,2013,457136,19077.13,83.94736,83.93879,.5293635,.5182586
"F",17,2014,440089,18226.43,83.94405,83.93111,.5128248,.5025445
"F",18,2001,400480,23413.82,82.94623,82.95995,.6198503,.6042818
"F",18,2002,413294,23785.26,82.421,82.43999,.6049535,.5902641
"F",18,2003,422404,23534.89,82.45551,82.46782,.552132,.5387146
"F",18,2004,430014,23116.8,82.94806,82.95249,.5525447,.5398232
"F",18,2005,435750,22818.03,83.37579,83.37362,.559994,.5472226
"F",18,2006,440775,22710.39,83.28579,83.28239,.5290141,.5181602
"F",18,2007,445198,22583.82,83.64725,83.63597,.5227234,.512644
"F",18,2008,450313,22566.3,83.59999,83.59944,.5372572,.5260547
"F",18,2009,461205,21916.5,82.7886,82.81172,.5380487,.5261102
"F",18,2010,460852,21515.07,83.04211,83.07554,.5545158,.5415895
"F",18,2011,459104,20936.37,84.11411,84.10591,.4836835,.4765076
"F",18,2012,459552,20668.48,83.97266,83.96524,.4937751,.4857139
"F",18,2013,457088,20001.16,84.55331,84.5211,.4608126,.4521311
"F",18,2014,439462,19114.55,84.66143,84.63462,.5082871,.5005887
"F",19,2001,400500,24461.66,82.8033,82.82001,.6017644,.5863892
"F",19,2002,413418,24837.88,82.85287,82.8667,.6140692,.5988173
"F",19,2003,422494,24576.03,82.76568,82.7782,.5781129,.563558
"F",19,2004,430129,24149.44,83.51832,83.51894,.5811317,.5686046
"F",19,2005,435662,23845.2,84.16553,84.15137,.5155333,.5049944
"F",19,2006,440849,23751.23,84.32436,84.3102,.5372002,.5266359
"F",19,2007,445313,23616.71,83.57441,83.57005,.553203,.5416114
"F",19,2008,450458,23600.54,83.85373,83.8512,.5236661,.5131291
"F",19,2009,461057,22952.16,83.86703,83.87455,.5382056,.5266023
"F",19,2010,460833,22501.01,84.20123,84.21167,.4998578,.4901528
"F",19,2011,459229,21891.28,84.04881,84.04747,.4947261,.4851772
"F",19,2012,459609,21599.49,83.96205,83.95643,.514456,.5049793
"F",19,2013,456941,20925.14,83.88055,83.86387,.4848513,.4761142
"F",19,2014,439572,20004.92,85.15271,85.11761,.4803123,.4724081
"F",20,2001,400418,25508.44,82.69803,82.7234,.6124718,.5969849
"F",20,2002,413378,25888.3,84.14121,84.13477,.566198,.5529204
"F",20,2003,422599,25612.39,82.06101,82.09264,.6061273,.5909581
"F",20,2004,429958,25178.25,82.82701,82.84327,.5564309,.5432398
"F",20,2005,435728,24866.57,84.16988,84.16286,.5477418,.5360531
"F",20,2006,440693,24789.67,83.20935,83.22197,.5943286,.5805001
"F",20,2007,445154,24645.33,83.84999,83.8465,.5411698,.529055
"F",20,2008,450463,24633.32,84.68726,84.66685,.4843855,.4759346
"F",20,2009,461037,23984.47,82.88366,82.90971,.5482468,.5352673
"F",20,2010,460945,23489.54,84.33474,84.34345,.522172,.5122269
"F",20,2011,459237,22846.55,83.93845,83.94308,.5168735,.5067134
"F",20,2012,459640,22529.31,83.8646,83.8664,.5359774,.5261453
"F",20,2013,457239,21846.67,83.44875,83.44736,.5312085,.519553
"F",20,2014,439936,20896.95,84.23064,84.22075,.5215345,.5112855
"F",21,2001,400505,26552.12,82.40554,82.43928,.6108689,.5950452
"F",21,2002,413321,26937.65,82.85245,82.87344,.6030363,.5882307
"F",21,2003,422686,26647.23,83.45068,83.45958,.5529123,.5394999
"F",21,2004,430090,26202.96,83.04198,83.06531,.6062794,.5915385
"F",21,2005,435660,25886.07,82.86154,82.8822,.5871901,.5726821
"F",21,2006,440942,25826.34,83.59195,83.60133,.5803486,.5668985
"F",21,2007,445282,25675.76,84.46492,84.45571,.5458798,.5352987
"F",21,2008,450437,25664.21,83.61137,83.62572,.546051,.5343405
"F",21,2009,461269,25015.12,84.11271,84.12165,.5010667,.4906356
"F",21,2010,460925,24478.58,84.33082,84.34301,.5098782,.4995502
"F",21,2011,459292,23802.27,84.29659,84.29631,.5046688,.4941654
"F",21,2012,459592,23460.4,84.17467,84.1763,.5248663,.5157338
"F",21,2013,457097,22768.34,84.11964,84.11699,.5079728,.498005
"F",21,2014,439831,21793.29,84.45501,84.44334,.5309739,.5202612
"F",22,2001,400519,27595.33,82.98342,83.01644,.6206336,.6044424
"F",22,2002,413512,27988.79,83.61658,83.63285,.5824827,.5684308
"F",22,2003,422496,27683.78,83.11095,83.13628,.6184646,.6027866
"F",22,2004,430011,27227.97,83.4866,83.50213,.5527193,.5397668
"F",22,2005,435685,26905.87,82.78172,82.81252,.6239553,.6085353
"F",22,2006,440731,26859.6,83.63342,83.64801,.5747439,.5616832
"F",22,2007,445252,26703.43,84.51848,84.51595,.5601271,.5486276
"F",22,2008,450442,26693.29,83.56244,83.58107,.547961,.5354214
"F",22,2009,461177,26050.95,82.82153,82.86903,.5786208,.5642099
"F",22,2010,460913,25471.03,84.76117,84.77835,.5136634,.5034752
"F",22,2011,459169,24761.46,84.94586,84.94457,.4957849,.4856555
"F",22,2012,459769,24393.94,85.14649,85.13803,.4831156,.4748864
"F",22,2013,457263,23689.97,83.46626,83.48598,.5581562,.5461174
"F",22,2014,440005,22687.86,85.47322,85.45043,.4760183,.4683866
"F",23,2001,400582,28642.97,81.67326,81.73481,.6310456,.6137988
"F",23,2002,413470,29046.58,82.37354,82.42001,.6332663,.6163879
"F",23,2003,422566,28720.13,84.26347,84.27034,.5928174,.5794434
"F",23,2004,430188,28253.01,83.05668,83.08826,.5950078,.5800991
"F",23,2005,435887,27924.1,83.97791,83.98734,.5656635,.5533201
"F",23,2006,440948,27896.18,83.57874,83.59787,.5815601,.5675232
"F",23,2007,445250,27731.9,83.89825,83.91043,.5581838,.5454978
"F",23,2008,450349,27722.89,84.4659,84.47397,.5178609,.5071513
"F",23,2009,461232,27089.73,84.10696,84.12757,.5323423,.5212526
"F",23,2010,460894,26467.57,84.5579,84.57832,.5033799,.4938893
"F",23,2011,459236,25727.89,84.49871,84.50862,.4942279,.4841211
"F",23,2012,459788,25336.07,83.6048,83.63588,.5524083,.5400152
"F",23,2013,457269,24622.63,84.20776,84.21185,.5259202,.5156904
"F",23,2014,440352,23585.38,84.84496,84.83942,.5319759,.5210829
"F",24,2001,400554,29697.4,81.96435,82.02464,.6502468,.632543
"F",24,2002,413440,30103.54,83.00513,83.03622,.5944623,.5791125
"F",24,2003,422645,29761.27,82.43436,82.47591,.6269884,.609661
"F",24,2004,430109,29278.5,83.81593,83.8285,.5542719,.5415049
"F",24,2005,435683,28943.95,83.67596,83.69513,.59008,.5762947
"F",24,2006,441015,28935.01,84.20493,84.21307,.5458776,.533843
"F",24,2007,445250,28762.36,84.03923,84.04729,.5671667,.5541418
"F",24,2008,450522,28756.55,83.94363,83.96068,.5477508,.5359511
"F",24,2009,461154,28127.19,83.79283,83.82201,.5493281,.5376793
"F",24,2010,461011,27469.33,84.24928,84.28162,.5303689,.519122
"F",24,2011,459324,26698.97,85.20853,85.20589,.5116129,.502417
"F",24,2012,459858,26286.17,84.61481,84.61787,.5143175,.5061104
"F",24,2013,457343,25566.37,85.35832,85.34228,.4946315,.486421
"F",24,2014,440496,24488.37,84.73484,84.72884,.515388,.5061699
"F",25,2001,400535,30754.54,83.2766,83.30424,.5939951,.5776213
"F",25,2002,413569,31170.65,83.30174,83.32733,.6281914,.6122742
"F",25,2003,422634,30805.65,83.02057,83.0509,.6085992,.5930821
"F",25,2004,430112,30308.64,83.69522,83.70976,.5735193,.5595288
"F",25,2005,435861,29967.4,83.01453,83.04599,.5977262,.5836223
"F",25,2006,440984,29976.8,83.44791,83.473,.6031502,.5883607
"F",25,2007,445361,29795.85,84.48421,84.47989,.5394298,.52852
"F",25,2008,450474,29793.76,84.19104,84.20058,.5506051,.5391395
"F",25,2009,461336,29172.25,83.70461,83.73437,.551986,.5389577
"F",25,2010,461040,28476.34,84.07142,84.10363,.5469539,.5355768
"F",25,2011,459287,27677.38,84.30678,84.32347,.5479562,.53604
"F",25,2012,459797,27244.06,84.8608,84.85551,.5110326,.502772
"F",25,2013,457287,26522.95,84.9335,84.92105,.5168936,.5072264
"F",25,2014,440274,25398.44,85.37988,85.3672,.5325769,.5238541
"F",26,2001,400507,31815.36,83.5497,83.57206,.5961468,.5817973
"F",26,2002,413459,32240.83,83.63927,83.65411,.5946152,.5793353
"F",26,2003,422622,31855.31,83.30426,83.32784,.5943098,.5797059
"F",26,2004,430020,31340.57,83.10187,83.1283,.6003253,.585762
"F",26,2005,435731,30996.21,84.3233,84.32706,.5699661,.5567994
"F",26,2006,440962,31022.92,84.14882,84.15504,.5713297,.5586866
"F",26,2007,445207,30835.49,84.10182,84.10496,.5766681,.5644743
"F",26,2008,450475,30837,84.04292,84.05296,.5640969,.5525646
"F",26,2009,461299,30223,83.45332,83.48168,.5647503,.5514984
"F",26,2010,460973,29489.35,84.08178,84.11136,.5548016,.5434489
"F",26,2011,459388,28666.06,84.81528,84.81609,.5372469,.5276694
"F",26,2012,459877,28209.89,84.48866,84.48891,.5484037,.5385486
"F",26,2013,457390,27486.59,85.54647,85.51566,.4630194,.4558575
"F",26,2014,440336,26317.94,84.26383,84.26655,.5685236,.5565453
"F",27,2001,400575,32878.34,83.20737,83.23467,.6108845,.5946804
"F",27,2002,413482,33315.98,83.46867,83.49007,.6354397,.6180757
"F",27,2003,422720,32911.38,83.49681,83.50969,.5603924,.5483952
"F",27,2004,430080,32378.97,83.97739,83.98555,.5994538,.5868024
"F",27,2005,435858,32028.75,83.02381,83.04846,.5929453,.5779719
"F",27,2006,440963,32071.91,84.37698,84.37643,.5688124,.5568397
"F",27,2007,445543,31880.96,85.05383,85.04009,.5401449,.5300041
"F",27,2008,450561,31885.52,85.0826,85.07238,.5269361,.5171179
"F",27,2009,461303,31277.97,83.94493,83.96877,.5774187,.5642368
"F",27,2010,461020,30510.59,85.2399,85.24196,.4813647,.4737382
"F",27,2011,459315,29665.32,84.48302,84.48923,.5311877,.5205881
"F",27,2012,459866,29185.17,84.82839,84.81812,.5256914,.5164332
"F",27,2013,457219,28456.93,84.17993,84.1804,.5600395,.5479361
"F",27,2014,440370,27248.57,84.71555,84.70663,.5387983,.5288543
"F",28,2001,400468,33947.76,82.26038,82.31082,.6505136,.6324532
"F",28,2002,413437,34399.29,83.37496,83.39734,.6241032,.607779
"F",28,2003,422583,33974.09,82.40259,82.4453,.6577462,.6397607
"F",28,2004,430189,33423.75,84.41251,84.41722,.5813025,.5687209
"F",28,2005,435815,33071.32,84.39739,84.39981,.5702068,.5580596
"F",28,2006,440995,33125.79,83.74729,83.76376,.6009153,.5867904
"F",28,2007,445349,32930.01,84.33841,84.33846,.5807437,.5685865
"F",28,2008,450598,32939.34,84.65272,84.64749,.5245878,.513878
"F",28,2009,461264,32337.1,84.7494,84.75484,.5333822,.5240619
"F",28,2010,461022,31535.18,85.21358,85.21412,.4874513,.478268
